"Техническая ошибка \= 129","Зарегистрирован дефект в Jira по данной проблеме IDCLUL-4173. Запланирована доработка в ближайших релизах. Необходимо повторить операцию. В случае повторения ошибки, обходное решение: проведение операции в АС ЕКС.","techerror_idcorp_129"
"Техническая ошибка \= 117","Ошибка интеграции с ЕПК по поиску ЮЛ","techerror_idcorp_117"
"workflow gate errorru.sbrf.ufs.platform.core.exception.AccessDeniedException\: Access denied to flow\: bcFlowOpenAccount","Проблема возникла при переходе в ФП Бизнес Карты. Необходимо подгрузить документы в ББМО вручную, если это требуется.","error_bc_access_denied"
"{""statusCode"":500,""statusDesc"":""Ошибка гарантированной доставки""}","Сбой связи интеграции ЭлГО и сервисов гос.органов. Рекомендуются повторить операцию позже. От ФП Идентификация ЮЛ, в данном случае, не зависит ничего, к сожалению. Можно создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_elgo_500"
"{""statusCode"":474,""statusDesc"":""В настоящее время предоставление выписки по заданному ИНН не предоставляется возможным. Рекомендуется повторить поиск сведений по ОГРН""}","Скорее всего, данный функционал не поддерживается платформой. Необходимо создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_elgo_474"
"{""statusCode"":400,""statusDesc"":""Сервис временно не доступен""}","Корневая причина - Недоступность внешних для Банка сервисов гос.органов. Рекомендуются повторить операцию позже.","error_elgo_400"
"{""statusCode"":455,""statusDesc"":""Ошибка маппинга организации в ЕПК""}","Ошибка заключается в том, что ППРБ.ЭлГО не нашли у себя карточку клиента по EPK.ID. Необходимо создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_elgo_455"
"{""statusCode"":455,""statusDesc"":""Ошибка создания организации в ЕПК""}","Ошибка создания организации в ЕПК. Необходимо создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_elgo_455"
"{""statusCode"":100,""statusDesc"":""Системная ошибка""}","Системная ошибка интеграции ЭлГО. Необходимо создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_elgo_100"
"{""statusCode"":700,""statusDesc"":""Превышено время обработки запроса""","Превышено время обработки запроса при запросе к гос. органам. Необходимо создать обращение на группу сопровождения ППРБ ЭлГО для выяснения корневой причины сбоя, указав следующие данные:","error_elgo_700"
"message\:No permission","Проблема с правами доступа к операции.","no_permission"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[processing\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [processing]","error_back_btn_processing"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[accountOpened\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [accountOpened]","error_back_btn_accountOpened"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[makePhoto\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [makePhoto]","error_back_btn_makePhoto"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[sbbol\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [sbbol]","error_back_btn_sbbol"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[refusal\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [refusal]","error_back_btn_refusal"
VSPLE_ACCOUNT_OPENING_BH.+Exception with message \[for state \[newBusinessCard\],"Вероятная причина ошибки: использование браузерной кнопки <Назад на форме [newBusinessCard]","error_back_btn_newBusinessCard"
